date,Mkt-RF,SMB,HML,RF
2007-09-20,-0.65,-0.18,-0.27,0.017
2007-09-21,0.43,-0.24,-0.17,0.017
2007-09-24,-0.56,-0.42,-0.52,0.017
2007-09-25,-0.03,-0.31,-0.44,0.017
2007-09-26,0.6,0.13,-0.07,0.017
2007-09-27,0.43,0.21,-0.11,0.017
2007-09-28,-0.37,-0.52,0.02,0.017
2007-10-01,1.37,0.83,0.05,0.014
2007-10-02,0.11,0.66,0.08,0.014
2007-10-03,-0.48,-0.18,-0.18,0.014
2007-10-04,0.18,-0.03,0.17,0.014
2007-10-05,1.1,0.63,-0.07,0.014
2007-10-08,-0.27,-0.19,-0.29,0.014
2007-10-09,0.78,-0.24,-0.11,0.014
2007-10-10,-0.13,-0.01,-0.43,0.014
2007-10-11,-0.58,-0.65,0.65,0.014
2007-10-12,0.51,0.11,-0.3,0.014
2007-10-15,-0.89,-0.4,-0.14,0.014
2007-10-16,-0.67,-0.06,-0.16,0.014
2007-10-17,0.22,-0.16,-0.24,0.014
2007-10-18,-0.1,0.07,-0.31,0.014
2007-10-19,-2.45,-0.5,0.04,0.014
2007-10-22,0.47,0.9,-0.04,0.014
2007-10-23,0.85,0.04,-0.53,0.014
2007-10-24,-0.33,-0.5,-0.04,0.014
2007-10-25,-0.19,-0.3,-0.04,0.014
2007-10-26,1.38,0.3,0.27,0.014
2007-10-29,0.4,-0.31,-0.45,0.014
2007-10-30,-0.64,0.14,0.01,0.014
2007-10-31,1.23,0.03,0.03,0.014
2007-11-01,-2.66,-0.89,-0.28,0.016
2007-11-02,0.08,0.14,-0.67,0.016
2007-11-05,-0.59,-0.31,0.04,0.016
2007-11-06,1.19,0.04,-0.23,0.016
2007-11-07,-2.77,-0.1,-0.21,0.016
2007-11-08,-0.05,0.56,1.24,0.016
2007-11-09,-1.46,0.29,0.85,0.016
2007-11-12,-1.08,0.42,0.07,0.016
2007-11-13,2.81,-0.41,-0.26,0.016
2007-11-14,-0.63,-0.3,-0.24,0.016
2007-11-15,-1.25,0.02,0.16,0.016
2007-11-16,0.41,-0.67,-0.48,0.016
2007-11-19,-1.81,-0.33,-0.26,0.016
2007-11-20,0.31,-0.59,0.02,0.016
2007-11-21,-1.54,0.42,0.03,0.016
2007-11-23,1.59,0.23,-0.03,0.016
2007-11-26,-2.09,-0.15,-0.45,0.016
2007-11-27,1.31,-0.51,-0.42,0.016
2007-11-28,2.9,0.35,-0.5,0.016
2007-11-29,0.01,-0.54,-0.25,0.016
2007-11-30,0.7,-0.56,0.73,0.016
2007-12-03,-0.6,-0.55,0.31,0.014
2007-12-04,-0.61,-0.16,-0.04,0.014
2007-12-05,1.47,0.08,-0.27,0.014
2007-12-06,1.55,0.87,0.21,0.014
2007-12-07,-0.07,0.02,0.04,0.014
2007-12-10,0.71,-0.11,0.09,0.014
2007-12-11,-2.5,-0.33,0.17,0.014
2007-12-12,0.48,0.02,-0.1,0.014
2007-12-13,0.06,-0.37,-0.16,0.014
2007-12-14,-1.36,-0.53,-0.17,0.014
2007-12-17,-1.59,-0.19,0.34,0.014
2007-12-18,0.65,1.12,-0.05,0.014
2007-12-19,-0.1,0.29,-0.4,0.014
2007-12-20,0.64,0.85,-0.43,0.014
2007-12-21,1.64,0.31,-0.06,0.014
2007-12-24,0.8,0.11,0.14,0.014
2007-12-26,0.1,0.18,-0.08,0.014
2007-12-27,-1.49,-1.18,0.22,0.014
2007-12-28,0.12,-0.39,-0.09,0.014
2007-12-31,-0.65,0.05,0.29,0.014
2008-01-02,-1.46,-0.11,-0.02,0.01
2008-01-03,-0.14,-1.03,-0.36,0.01
2008-01-04,-2.56,-0.52,0.32,0.01
2008-01-07,0.16,0.1,0.22,0.01
2008-01-08,-1.81,-0.49,-0.67,0.01
2008-01-09,1.1,-0.38,-0.52,0.01
2008-01-10,0.89,-0.08,0.4,0.01
2008-01-11,-1.42,-0.7,0.21,0.01
2008-01-14,1.02,-0.06,-0.19,0.01
2008-01-15,-2.39,0.46,0.09,0.01
2008-01-16,-0.51,0.85,0.96,0.01
2008-01-17,-2.8,0.35,-0.07,0.01
2008-01-18,-0.56,-0.28,-0.83,0.01
2008-01-22,-0.98,0.41,0.8,0.01
2008-01-23,2.04,0.71,1.45,0.01
2008-01-24,1.02,-0.95,-0.8,0.01
2008-01-25,-1.39,0.83,0.29,0.01
2008-01-28,1.71,0.09,0.77,0.01
2008-01-29,0.69,-0.42,0.91,0.01
2008-01-30,-0.59,-0.38,-0.03,0.01
2008-01-31,1.66,0.87,0.34,0.01
2008-02-01,1.48,0.68,0.04,0.007
2008-02-04,-0.99,0.09,0.14,0.007
2008-02-05,-3.01,0.43,0.09,0.007
2008-02-06,-0.85,-0.35,0.59,0.007
2008-02-07,0.82,0.4,0.01,0.007
2008-02-08,-0.3,-0.1,-0.23,0.007
2008-02-11,0.58,-0.28,-0.44,0.007
2008-02-12,0.61,-0.14,-0.04,0.007
2008-02-13,1.46,0.7,-0.02,0.007
2008-02-14,-1.35,-0.83,0.4,0.007
2008-02-15,-0.02,-0.8,0.35,0.007
2008-02-19,-0.06,0.23,-0.28,0.007
2008-02-20,0.83,0.23,-0.14,0.007
2008-02-21,-1.28,-0.34,-0.27,0.007
2008-02-22,0.61,-0.85,0.56,0.007
2008-02-25,1.46,0.45,-0.08,0.007
2008-02-26,0.72,0.37,-0.05,0.007
2008-02-27,-0.11,-0.01,-0.5,0.007
2008-02-28,-0.93,-0.46,-0.14,0.007
2008-02-29,-2.64,0.1,-0.03,0.007
2008-03-03,-0.04,-0.28,-0.17,0.009
2008-03-04,-0.36,0,0.1,0.009
2008-03-05,0.56,-0.26,-0.25,0.009
2008-03-06,-2.26,-0.47,-0.11,0.009
2008-03-07,-0.88,0.28,0.54,0.009
2008-03-10,-1.72,-0.61,0.71,0.009
2008-03-11,3.57,0.28,-0.14,0.009
2008-03-12,-0.77,0.14,-0.7,0.009
2008-03-13,0.65,1.29,-0.2,0.009
2008-03-14,-2.07,-0.26,-0.03,0.009
2008-03-17,-1.21,-0.81,0.64,0.009
2008-03-18,4.09,0.07,-0.61,0.009
2008-03-19,-2.37,0.05,0.08,0.009
2008-03-20,2.3,-0.04,0.22,0.009
2008-03-24,1.71,1.11,-0.73,0.009
2008-03-25,0.38,0.41,0.01,0.009
2008-03-26,-0.82,0.56,-0.19,0.009
2008-03-27,-1.13,-0.21,0.15,0.009
2008-03-28,-0.82,-0.44,0.34,0.009
2008-03-31,0.57,0.07,0.52,0.009
2008-04-01,3.37,-0.69,-0.16,0.008
2008-04-02,-0.09,0.45,0.03,0.008
2008-04-03,0.14,-0.09,-0.05,0.008
2008-04-04,0.16,0.04,-0.25,0.008
2008-04-07,0.14,-0.41,0.52,0.008
2008-04-08,-0.34,0.3,0.09,0.008
2008-04-09,-0.96,-0.82,-0.09,0.008
2008-04-10,0.53,0.74,-0.75,0.008
2008-04-11,-2.02,-0.63,0.69,0.008
2008-04-14,-0.38,0.09,0.16,0.008
2008-04-15,0.46,0.29,0.35,0.008
2008-04-16,2.27,0.48,0.14,0.008
2008-04-17,-0.1,-0.8,0.21,0.008
2008-04-18,1.67,0.12,-0.74,0.008
2008-04-21,-0.17,-0.19,-0.33,0.008
2008-04-22,-0.97,-1.09,0.32,0.008
2008-04-23,0.26,0.22,-1.16,0.008
2008-04-24,0.66,0.62,0.2,0.008
2008-04-25,0.68,-0.14,0.17,0.008
2008-04-28,-0.03,0.55,0.18,0.008
2008-04-29,-0.36,-0.37,0.31,0.008
2008-04-30,-0.3,-0.15,0.15,0.008
2008-05-01,1.66,0.13,0.02,0.008
2008-05-02,0.2,-0.77,0.11,0.008
2008-05-05,-0.41,0.28,0.04,0.008
2008-05-06,0.75,-0.02,0.52,0.008
2008-05-07,-1.66,0.03,-0.12,0.008
2008-05-08,0.37,0.07,-0.01,0.008
2008-05-09,-0.54,0.67,-0.26,0.008
2008-05-12,1.1,0.65,-0.4,0.008
2008-05-13,0.09,0.63,0.03,0.008
2008-05-14,0.38,-0.41,0.1,0.008
2008-05-15,1.02,-0.09,-0.29,0.008
2008-05-16,0.1,-0.43,0.16,0.008
2008-05-19,-0.02,-0.28,0.37,0.008
2008-05-20,-0.8,0.56,0.05,0.008
2008-05-21,-1.56,0.43,0.29,0.008
2008-05-22,0.38,0.32,-0.05,0.008
2008-05-23,-1.24,0.14,-0.48,0.008
2008-05-27,0.72,0.59,-0.24,0.008
2008-05-28,0.49,-0.06,-0.07,0.008
2008-05-29,0.61,0.31,-0.33,0.008
2008-05-30,0.29,0.24,0.14,0.008
2008-06-02,-0.98,0.14,0.41,0.008
2008-06-03,-0.46,0.26,-0.02,0.008
2008-06-04,0.02,0.67,-0.69,0.008
2008-06-05,1.95,0.33,-0.04,0.008
2008-06-06,-2.9,0.13,0.11,0.008
2008-06-09,-0.03,-0.61,0.13,0.008
2008-06-10,-0.31,0.05,-0.38,0.008
2008-06-11,-1.66,-0.18,0.02,0.008
2008-06-12,0.31,0.04,-0.18,0.008
2008-06-13,1.56,0.27,-0.34,0.008
2008-06-16,0.15,0.86,-0.23,0.008
2008-06-17,-0.55,0.12,0.02,0.008
2008-06-18,-0.96,0.21,0.41,0.008
2008-06-19,0.34,0.52,-0.71,0.008
2008-06-20,-1.79,0.36,0.11,0.008
2008-06-23,-0.16,-0.63,0.06,0.008
2008-06-24,-0.54,-1.12,0.04,0.008
2008-06-25,0.64,0.35,-0.49,0.008
2008-06-26,-2.83,0.51,0.21,0.008
2008-06-27,-0.37,0.2,-0.37,0.008
2008-06-30,-0.07,-1.24,0.77,0.008
2008-07-01,0.29,-0.33,0.02,0.007
2008-07-02,-2,-0.72,-0.22,0.007
2008-07-03,-0.15,-0.73,-0.09,0.007
2008-07-07,-0.81,0,-0.96,0.007
2008-07-08,1.84,1.36,1.75,0.007
2008-07-09,-2.06,-0.26,-0.97,0.007
2008-07-10,0.65,-0.27,-0.8,0.007
2008-07-11,-0.88,1.31,-0.87,0.007
2008-07-14,-0.93,-0.41,-1.92,0.007
2008-07-15,-0.96,1.12,-1.08,0.007
2008-07-16,2.52,0.81,3.28,0.007
2008-07-17,1.13,0.52,3.05,0.007
2008-07-18,-0.08,-0.7,1.01,0.007
2008-07-21,0.16,0.17,-0.28,0.007
2008-07-22,1.37,1.37,2.48,0.007
2008-07-23,0.32,0.28,1.19,0.007
2008-07-24,-2.31,0.14,-2.38,0.007
2008-07-25,0.47,0.8,-0.89,0.007
2008-07-28,-1.76,-0.18,-1.03,0.007
2008-07-29,2.27,0.15,2.52,0.007
2008-07-30,1.58,-1.51,0.15,0.007
2008-07-31,-1.16,0.71,0.23,0.007
2008-08-01,-0.47,0.8,0.51,0.006
2008-08-04,-1.09,-0.1,0.28,0.006
2008-08-05,2.65,-0.34,1.26,0.006
2008-08-06,0.5,0.44,-0.96,0.006
2008-08-07,-1.73,0.43,-1.4,0.006
2008-08-08,2.28,0.72,1.24,0.006
2008-08-11,0.83,1.52,0.91,0.006
2008-08-12,-1.05,0.83,-1.77,0.006
2008-08-13,-0.15,0.43,-1.41,0.006
2008-08-14,0.63,0.33,0.88,0.006
2008-08-15,0.38,-0.23,0.89,0.006
2008-08-18,-1.45,0.16,-0.63,0.006
2008-08-19,-1,-0.82,-0.8,0.006
2008-08-20,0.54,-0.74,0.14,0.006
2008-08-21,0.12,-1.09,-0.13,0.006
2008-08-22,1.14,0.66,0.68,0.006
2008-08-25,-1.92,-0.19,-0.38,0.006
2008-08-26,0.33,-0.26,0.22,0.006
2008-08-27,0.88,0.26,0.31,0.006
2008-08-28,1.51,0.42,1.36,0.006
2008-08-29,-1.25,0.28,0.56,0.006
2008-09-02,-0.44,0.64,1.42,0.007
2008-09-03,-0.23,0.7,1.43,0.007
2008-09-04,-2.9,0.16,-0.38,0.007
2008-09-05,0.42,-0.63,1.18,0.007
2008-09-08,1.76,-0.35,1.83,0.007
2008-09-09,-3.41,0.7,-1.08,0.007
2008-09-10,0.7,0.22,-0.39,0.007
2008-09-11,1.22,-0.99,0.37,0.007
2008-09-12,0.29,-0.22,-0.06,0.007
2008-09-15,-4.45,1.35,-2.23,0.007
2008-09-16,1.65,0.44,1.63,0.007
2008-09-17,-4.6,0.4,-1.93,0.007
2008-09-18,4.41,1.56,3.99,0.007
2008-09-19,4.27,-1.78,3.33,0.007
2008-09-22,-3.93,0.06,-2.84,0.007
2008-09-23,-1.55,0.1,0.09,0.007
2008-09-24,-0.32,-1.12,-0.65,0.007
2008-09-25,1.7,-1.14,0.7,0.007
2008-09-26,0.11,-0.71,0.49,0.007
2008-09-29,-8.26,3.04,-3.28,0.007
2008-09-30,4.88,-3.33,2.31,0.007
2008-10-01,-0.47,-0.59,2.53,0.004
2008-10-02,-4.2,-0.41,0.3,0.004
2008-10-03,-1.47,-0.9,-1.21,0.004
2008-10-06,-3.95,-0.05,0.26,0.004
2008-10-07,-5.76,0.82,-3.07,0.004
2008-10-08,-1.27,-0.49,-1.81,0.004
2008-10-09,-7.36,-0.27,-2.71,0.004
2008-10-10,-0.95,4.35,1.88,0.004
2008-10-13,11.35,-2.78,-1.45,0.004
2008-10-14,-0.86,-2.57,3.68,0.004
2008-10-15,-8.78,0.49,0.07,0.004
2008-10-16,4.32,2.08,-1.24,0.004
2008-10-17,-0.41,-0.87,-0.53,0.004
2008-10-20,4.55,-1.53,-0.12,0.004
2008-10-21,-2.95,0.14,0.47,0.004
2008-10-22,-5.76,0.99,-0.09,0.004
2008-10-23,0.3,-3.56,-0.4,0.004
2008-10-24,-3.28,0.02,-0.7,0.004
2008-10-27,-3.36,-0.8,0.21,0.004
2008-10-28,9.77,-3.76,0.44,0.004
2008-10-29,-0.47,2.66,-0.78,0.004
2008-10-30,2.99,1.77,0,0.004
2008-10-31,1.88,2.49,1.55,0.004
2008-11-03,-0.05,0.29,0.31,0.001
2008-11-04,3.57,-2.7,0.41,0.001
2008-11-05,-5.05,0.03,-1.23,0.001
2008-11-06,-4.83,1.58,-0.54,0.001
2008-11-07,2.62,-1.23,-0.54,0.001
2008-11-10,-1.32,-0.94,-1.63,0.001
2008-11-11,-2.25,0.14,0.02,0.001
2008-11-12,-5.14,-0.45,-1.29,0.001
2008-11-13,6.79,0.6,0.21,0.001
2008-11-14,-4.27,-2.23,0.01,0.001
2008-11-17,-2.43,1.58,-1.03,0.001
2008-11-18,0.7,-1.39,-0.48,0.001
2008-11-19,-6.29,-0.31,-2.66,0.001
2008-11-20,-6.6,1.59,-2.62,0.001
2008-11-21,6.11,-1.67,-1.39,0.001
2008-11-24,6.27,-0.79,3.64,0.001
2008-11-25,0.94,0.19,2.3,0.001
2008-11-26,3.88,1.62,0.25,0.001
2008-11-28,1.06,-0.31,1.25,0.001
2008-12-01,-8.95,-1.09,-2.84,0
2008-12-02,3.97,0.91,1.96,0
2008-12-03,2.63,0.02,1.05,0
2008-12-04,-2.9,0.34,0.66,0
2008-12-05,3.75,0.4,1.06,0
2008-12-08,3.8,-0.41,0.29,0
2008-12-09,-2.23,-0.68,-1.06,0
2008-12-10,1.2,0.75,-0.49,0
2008-12-11,-2.93,-1.41,-1.78,0
2008-12-12,0.96,2.57,0.04,0
2008-12-15,-1.54,-1.45,-0.94,0
2008-12-16,5.15,0.08,1.91,0
2008-12-17,-0.62,1.69,-0.35,0
2008-12-18,-1.83,0.96,-0.43,0
2008-12-19,0.35,0.75,-0.1,0
2008-12-22,-1.87,-0.08,-0.84,0
2008-12-23,-0.89,-0.13,-0.63,0
2008-12-24,0.51,-0.22,0.39,0
2008-12-26,0.63,0.56,0.13,0
2008-12-29,-0.56,-1.48,0.09,0
2008-12-30,2.47,0.62,0.9,0
2008-12-31,1.7,1.6,0.72,0
2009-01-02,3.11,-1.49,0.07,0
2009-01-05,-0.28,0.44,-0.65,0
2009-01-06,0.87,1.06,0.9,0
2009-01-07,-2.96,0.27,-1.01,0
2009-01-08,0.47,0.68,0.47,0
2009-01-09,-2.21,-1.49,-1.06,0
2009-01-12,-2.28,0.18,-1.71,0
2009-01-13,0.28,0.47,-0.05,0
2009-01-14,-3.38,-0.58,-1.22,0
2009-01-15,0.39,2.1,-2.05,0
2009-01-16,0.74,0.38,-0.83,0
2009-01-20,-5.34,-0.18,-3.39,0
2009-01-21,4.21,-0.99,2.04,0
2009-01-22,-1.62,-1.24,-1.24,0
2009-01-23,0.44,-0.36,0.67,0
2009-01-26,0.54,0.6,-0.3,0
2009-01-27,1.08,-0.35,0.03,0
2009-01-28,3.32,-0.25,2.08,0
2009-01-29,-3.23,-0.33,-1.94,0
2009-01-30,-2.16,0.04,-1,0
2009-02-02,0.06,1.36,-0.77,0.001
2009-02-03,1.46,-0.45,-1.94,0.001
2009-02-04,-0.6,-0.34,-0.22,0.001
2009-02-05,1.61,0.07,-0.15,0.001
2009-02-06,2.79,0.15,2,0.001
2009-02-09,0.03,-0.89,0.08,0.001
2009-02-10,-4.62,0.79,-2.31,0.001
2009-02-11,0.75,-0.51,0.64,0.001
2009-02-12,0.3,0.36,-0.71,0.001
2009-02-13,-0.85,0.71,-0.98,0.001
2009-02-17,-4.36,0.93,-2.28,0.001
2009-02-18,-0.33,-0.84,-0.95,0.001
2009-02-19,-1.15,-0.34,-1.49,0.001
2009-02-20,-1.16,0,-1.24,0.001
2009-02-23,-3.43,-0.28,0.68,0.001
2009-02-24,4,-0.72,2.5,0.001
2009-02-25,-1.15,-1.46,0.23,0.001
2009-02-26,-1.53,-0.46,1.35,0.001
2009-02-27,-2.01,1.54,-1.74,0.001
2009-03-02,-4.75,-0.16,-0.53,0.001
2009-03-03,-0.71,-0.92,-2.02,0.001
2009-03-04,2.42,0.35,-0.58,0.001
2009-03-05,-4.21,-0.73,-2.63,0.001
2009-03-06,0.2,0.44,-0.65,0.001
2009-03-09,-1.09,-0.98,0.46,0.001
2009-03-10,6.35,-0.36,3.14,0.001
2009-03-11,0.3,-0.5,0.62,0.001
2009-03-12,4.16,1.53,1.78,0.001
2009-03-13,0.73,0.29,0.4,0.001
2009-03-16,-0.55,-1.1,0.64,0.001
2009-03-17,3.2,0.8,1.21,0.001
2009-03-18,2.18,0.58,3.19,0.001
2009-03-19,-1.03,0.56,-1.67,0.001
2009-03-20,-1.95,-0.44,-0.65,0.001
2009-03-23,6.89,-0.29,3.46,0.001
2009-03-24,-1.93,-1.32,-1.2,0.001
2009-03-25,0.94,1.24,0.63,0.001
2009-03-26,2.68,1.89,0.19,0.001
2009-03-27,-2.06,-1.26,0.28,0.001
2009-03-30,-3.47,1.39,-3.4,0.001
2009-03-31,1.29,-0.31,1.08,0.001
2009-04-01,1.65,-0.43,1.37,0.001
2009-04-02,3.07,1.69,0.89,0.001
2009-04-03,1.02,-0.11,0.83,0.001
2009-04-06,-0.92,-0.6,-0.62,0.001
2009-04-07,-2.42,-0.7,-0.22,0.001
2009-04-08,1.28,1.1,0.15,0.001
2009-04-09,3.91,0.84,3.44,0.001
2009-04-13,0.26,-0.62,1.74,0.001
2009-04-14,-2.02,-0.29,-2.41,0.001
2009-04-15,1.12,0.08,1.99,0.001
2009-04-16,1.69,1.29,0.09,0.001
2009-04-17,0.55,0.85,0.29,0.001
2009-04-20,-4.32,-0.27,-3.59,0.001
2009-04-21,2.19,1.05,2.62,0.001
2009-04-22,-0.61,1.39,-0.89,0.001
2009-04-23,0.66,-1.91,0.5,0.001
2009-04-24,1.77,0.75,0.11,0.001
